type,threads,size,runtime
strong,1,100,534744998
strong,2,100,318163603
strong,4,100,259409991
strong,8,100,199603021
strong,12,100,302423302
strong,16,100,298274894
weak,1,100,535229884
weak,2,200,1176516463
weak,4,400,2718864760
