step,x,y,z
1.0e-7,2.0018850282493,0.999936564403692,0
1.1e-7,2.00188549855246,0.999937252914117,0
1.2e-7,2.0018859673573,0.999938367822445,0
1.3e-7,2.00188508208343,0.999938125034154,0
1.4e-7,2.00188589456819,0.999939874674565,0
1.5e-7,2.00188646206417,0.999940266833493,0
1.6e-7,2.00188683702349,0.999940286209642,0
1.7000000000000002e-7,2.00188649554816,0.999940825818589,0
1.8e-7,2.00188861357105,0.999944385984305,0
1.9e-7,2.00188827731452,0.9999442743416,0
2.0e-7,2.0018890678093,0.999946103247935,0
2.1e-7,2.00188995934558,0.999944691881512,0
2.2e-7,2.00188834096794,0.999945496569003,0
2.3e-7,2.00188982287775,0.999948815561599,0
2.4000000000000004e-7,2.00189221444901,0.999950243819915,0
2.5e-7,2.00189194158404,0.999949908159646,0
2.6e-7,2.00188995938532,0.999948332808295,0
2.7e-7,2.00189150507553,0.999952603151403,0
2.8e-7,2.00189154006553,0.999953228823214,0
2.9000000000000004e-7,2.00189382865824,0.999952401698287,0
3.0e-7,2.00189426387339,0.999955111584718,0
3.1e-7,2.0018945680774,0.999955293706238,0
3.2e-7,2.0018951583249,0.999956120359447,0
3.3000000000000003e-7,2.00189374678337,0.999954527378323,0
3.4000000000000004e-7,2.00189334584371,0.999957041083843,0
3.5e-7,2.00189395970331,0.999957544337866,0
3.6e-7,2.00189535151557,0.999958519399612,0
3.7e-7,2.00189625456858,0.99995898796454,0
3.8000000000000003e-7,2.00189761145742,0.999959872641645,0
3.9000000000000004e-7,2.00189640249785,0.999960007988479,0
4.0e-7,2.00189944884626,0.999965896201144,0
4.1e-7,2.0018970739107,0.99996129084467,0
4.2e-7,2.00189840689909,0.999964722238407,0
4.300000000000001e-7,2.0019000888807,0.999964074162507,0
4.4e-7,2.00189656978332,0.999962769816737,0
4.5e-7,2.0019010663333,0.999965355699563,0
4.6e-7,2.00190174781312,0.99997157733932,0
4.7e-7,2.00189926746878,0.999967839555398,0
4.800000000000001e-7,2.00190184623616,0.999973136204085,0
4.9e-7,2.00190039163569,0.999971148210375,0
5.0e-7,2.00190127901234,0.999969536614786,0
5.1000000000000005e-7,2.00190137544338,0.999975512847896,0
5.2e-7,2.00190111634067,0.999977518022445,0
5.3e-7,2.00190199264276,0.99997104205666,0
5.4e-7,2.00190157794252,0.999973801558178,0
5.5e-7,2.00190592373333,0.999974981416087,0
5.6000000000000005e-7,2.00190198290093,0.99997521214457,0
5.7e-7,2.00190722519814,0.99997935834549,0
5.800000000000001e-7,2.0019088438411,0.999981098927628,0
5.9e-7,2.00190369404124,0.999981557428736,0
6.0e-7,2.00190544599071,0.999978664744902,0
6.1000000000000005e-7,2.00191008790909,0.999987941133173,0
6.2e-7,2.00190697504155,0.999984861666481,0
6.300000000000001e-7,2.00190737440627,0.999988295026223,0
6.4e-7,2.00190796027122,0.9999866419565,0
6.5e-7,2.0019117352365,0.999984669184372,0
6.6000000000000005e-7,2.00191171572401,0.999992750964773,0
6.7e-7,2.00190993269782,0.999982963919982,0
6.800000000000001e-7,2.00190600468364,0.999983733313876,0
6.9e-7,2.00190765060924,0.999988206027212,0
7.0e-7,2.0019079462321,0.999990926315618,0
7.1000000000000005e-7,2.00191529018575,0.99999579313493,0
7.2e-7,2.00190973200984,0.99999285499795,0
7.300000000000001e-7,2.00191508777969,0.999991159670806,0
7.4e-7,2.00191535943243,0.999995600367303,0
7.5e-7,2.00191451911884,0.999991512400106,0
7.6000000000000005e-7,2.00191722800796,0.999997473763282,0
7.7e-7,2.0019191034776,1.00000128719562,0
7.800000000000001e-7,2.00191652903168,0.999998599009684,0
7.9e-7,2.00191566619585,0.999994500609051,0
8.0e-7,2.00191429606729,0.999997297713188,0
8.100000000000001e-7,2.00191710722932,0.999998799008634,0
8.2e-7,2.00191452990339,1.00000731280359,0
8.3e-7,2.00191318948941,1.00000401930268,0
8.4e-7,2.00191891194014,0.999999194541393,0
8.5e-7,2.00192212356678,1.00000402319282,0
8.600000000000001e-7,2.00192225016336,1.00000662109926,0
8.7e-7,2.00192375178881,1.00000979289736,0
8.8e-7,2.001920423276,1.00001373355358,0
8.9e-7,2.00191983712979,1.00000999276002,0
9.0e-7,2.00192018391621,1.00001586762704,0
9.1e-7,2.00191663685497,1.00001331649091,0
9.200000000000001e-7,2.00192539544399,1.00001709476328,0
9.3e-7,2.00191824586938,1.00000508485826,0
9.4e-7,2.00191920094556,1.00002059679757,0
9.5e-7,2.00192250204435,1.00001321210642,0
9.6e-7,2.00191960855614,1.00001081490002,0
9.700000000000001e-7,2.0019220755007,1.0000139449518,0
9.8e-7,2.00192557125711,1.00001963312371,0
9.9e-7,2.00192803912782,1.00001905723136,0
1.0e-8,2.00188040696741,0.999927786691472,0
