step,x_1,y_1,z_1,t_1,x_2,y_2,z_2,t_2
7.3e-06,1.74221484327368,0.291243199043137,0,1.87936312745023,2.00224211709354,1.00123874711772,0,2.88006904206668
3.65e-06,1.74195731733713,0.290015450618386,0,1.87929742744927,2.00202945921843,1.00030632491367,0,2.88056909207398
1.825e-06,1.74186733497583,0.28975132748396,0,1.87927917744901,2.00195873057162,1.00010172424195,0,2.88067859207558
9.125e-07,1.74182563876549,0.289640953045743,0,1.87927096494889,2.00192330070607,1.00001472393795,0,2.88072421707625
4.5625e-07,1.74180454104075,0.289585831877772,0,1.87926685869883,2.00189983537191,0.999969577249169,0,2.88074657332658
2.28125e-07,1.74179392965988,0.289558288589978,0,1.8792648055738,2.00189067141856,0.999947817813183,0,2.88075797957674
1.140625e-07,1.74178860832802,0.289544521370766,0,1.87926377901128,2.00188473062384,0.999936529484388,0,2.88076356863932
5.703125e-08,1.74178625358019,0.289538966308673,0,1.87926332276128,2.0018825857377,0.999932051087845,0,2.88076584988936
2.8515625e-08,1.74178492062156,0.289535525215082,0,1.87926306612065,2.00188109626761,0.999929228859027,0,2.880767247155
1.42578125e-08,1.74178433145188,0.289534136584844,0,1.87926295205814,2.0018805592905,0.99992810925141,0,2.88076781746751
7.12890625e-09,1.74178403682842,0.289533442259814,0,1.87926289502689,2.00188029063857,0.999927549398383,0,2.88076810262377
3.564453125e-09,1.74178387011913,0.289533012160261,0,1.87926286294682,2.0018801460615,0.999927209407713,0,2.88076828084642
1.7822265625e-09,1.74178378675908,0.289532797106479,0,1.87926284690678,2.00188007373822,0.999927039399306,0,2.8807684796912
