step,x_1,y_1,z_1,t_1,x_2,y_2,z_2,t_2
1.0e-6,1.7418309399252,0.289657196166192,0,1.87927199525529,2.00192246033043,1.00002566009612,0,2.88071699272689
1.1e-6,1.74183574806369,0.289670261288054,0,1.87927293698749,2.00192915468864,1.00003671734334,0,2.88071180340899
1.2e-6,1.74183735459154,0.289669033448293,0,1.8792732664715,2.00193618050371,1.00003802708125,0,2.88071290189328
1.3e-6,1.74184528993045,0.289696194760599,0,1.87927481168981,2.00193903099404,1.0000576281187,0,2.88070121791907
1.4e-6,1.74184390597509,0.289681502490991,0,1.87927456473403,2.00193364724361,1.00004585999877,0,2.88070714594141
1.5e-6,1.74185417752657,0.28971933533689,0,1.87927656647162,2.00194585877937,1.0000756895126,0,2.88069160189252
1.6e-6,1.74185541504764,0.289716372343123,0,1.87927682196141,2.00194561040734,1.00007357517523,0,2.88069283366406
1.7000000000000002e-6,1.741864369802,0.289748597101105,0,1.87927858268768,2.00196734174584,1.00010245518063,0,2.88068057346254
1.8e-6,1.74186719656401,0.289752869552457,0,1.87927914777765,2.00196563382071,1.00010489533896,0,2.88067851995027
1.9e-6,1.74187415852065,0.289776236475314,0,1.8792805289894,2.00196166356207,1.00011982780563,0,2.8806679444366
2.0e-6,1.74187141041801,0.289754802867882,0,1.87927999525527,2.00197035055617,1.00010768284969,0,2.88067799272699
2.1e-6,1.74187984139012,0.289784952033624,0,1.8792816664718,2.00196805069101,1.0001278109093,0,2.88066460189157
2.2e-6,1.74188016703805,0.289777651547564,0,1.8792817369872,2.00198165953702,1.00012692578181,0,2.88066890341042
2.3e-6,1.74189153196934,0.289821778742271,0,1.87928400454439,2.00199888807553,1.00016268239606,0,2.88065110696584
2.4000000000000004e-6,1.74189184118923,0.289814266493772,0,1.87928406647188,2.00198215946662,1.00015239989205,0,2.88065290189115
2.5e-6,1.7418962605575,0.289826055236864,0,1.87928495252527,2.00197869487912,1.00015948918995,0,2.88064742722872
2.6e-6,1.74191036757443,0.28988410370873,0,1.87928781168989,2.00199114390242,1.00020348922888,0,2.88062321791858
2.7e-6,1.74190379986406,0.289843588978055,0,1.87928646647197,2.001992680335,1.00017590659725,0,2.88064090189073
2.8e-6,1.74192093237147,0.289916653121437,0,1.87928996473374,2.00202558907699,1.00023656098218,0,2.8806119459432
2.9000000000000004e-6,1.74192078339362,0.289906548273897,0,1.87928991735703,2.00202736157588,1.00023008954564,0,2.88061642660523
3.0e-6,1.74192157537517,0.289901059401754,0,1.87929006647209,2.00201968310389,1.00022395826042,0,2.88061810188992
3.1e-6,1.74192749224197,0.289920419720085,0,1.87929127457937,2.00202207454667,1.00023811466445,0,2.88060986103483
3.2e-6,1.74193500592313,0.289947754296707,0,1.8792928219616,2.00202750802088,1.00025873862295,0,2.88059843366295
3.3000000000000003e-6,1.74193994748718,0.289962594680495,0,1.87929383698679,2.00203973583505,1.00027276232613,0,2.88059300341297
3.4000000000000004e-6,1.74194831275112,0.289994614400214,0,1.87929558268752,2.00203348161332,1.00029310393696,0,2.88057857346348
3.5e-6,1.74195520140711,0.290019535666772,0,1.87929702577685,2.0020601799111,1.00031854810837,0,2.88057003951053
3.6e-6,1.74195593398187,0.290013383009472,0,1.87929714777715,2.00205643660232,1.00031313445822,0,2.88057231995322
3.7e-6,1.74195346793988,0.289991242099914,0,1.87929658948087,2.0020290188845,1.00028936499399,0,2.88057948387632
3.8000000000000003e-6,1.74195849167091,0.290006663911479,0,1.87929762898966,2.00205331290636,1.00030750927985,0,2.88057484443516
3.9000000000000004e-6,1.74197362221791,0.290073815115298,0,1.87930086647248,2.00207756358015,1.00036160482821,0,2.88054790188744
4.0e-6,1.74196982487568,0.29004427512954,0,1.87929999525522,2.00207077645443,1.00033897274696,0,2.88055999272729
4.1e-6,1.74197246361708,0.290047772667595,0,1.87930052751199,2.00205861584313,1.00033770242945,0,2.8805573888917
4.2e-6,1.74198245379495,0.290089090033971,0,1.87930266647254,2.00207229627443,1.00037063862734,0,2.88054070188718
4.300000000000001e-6,1.74199936708035,0.290168061250406,0,1.87930640022387,2.00210836320675,1.00043666241086,0,2.88050980034313
4.4e-6,1.74199761118347,0.290148069947132,0,1.87930593698638,2.00209418384335,1.00041841272504,0,2.88051710341551
4.5e-6,1.74200725346129,0.290189249427006,0,1.87930806647273,2.00209672555975,1.00044794259172,0,2.88049960188573
4.6e-6,1.74200288733815,0.29015512984755,0,1.87930700454444,2.00211126693096,1.00042849026143,0,2.88051540696551
4.7e-6,1.74201213741975,0.290194210837822,0,1.87930904525138,2.0021080602399,1.00045482780793,0,2.88049831608441
4.800000000000001e-6,1.74201861425023,0.290218690454236,0,1.87931046647282,2.00213069774629,1.00047876574269,0,2.88048970188538
4.9e-6,1.74202428473441,0.290238942390692,0,1.87931170833599,2.00211588625242,1.00048846703943,0,2.88047971277683
5.0e-6,1.74203831589412,0.290306549858263,0,1.87931495252451,2.00210580325867,1.00053271794575,0,2.88044992723371
5.1000000000000005e-6,1.74203627806431,0.290283587167128,0,1.87931436647295,2.00210643714072,1.00051680027886,0,2.88045970188432
5.2e-6,1.74204518687718,0.290322864346296,0,1.87931641169007,2.00214771824645,1.00055686675257,0,2.88044641791748
5.3e-6,1.74204539049909,0.290312511891221,0,1.87931635897439,2.00212990801207,1.00054420014786,0,2.88044923711959
5.4e-6,1.74205610217936,0.290362750056888,0,1.87931886647311,2.00215940611944,1.00058836715401,0,2.88043030188328
5.5e-6,1.74204893516944,0.290309819958298,0,1.87931701467824,2.0021156489246,1.00053790287347,0,2.88044902249749
